,2. Datum nesreče,3. Ura nesreče,4. Nadzornik prisoten,5. Zdravnik prisoten,6. Reševalec prisoten,7. Udeleženec A – LETNICA ROJSTVA,8. Udeleženec A – država,9. Udeleženec A – zvrst smučanja,10. Udeleženec A – ravnanje pred nesrečo,11. Udeleženec B – LETO rojstva,12. Udeleženec B – država,13. Udeleženec B – zvrst smučanja,14. Skica nesreče,15. Fotografija kraja nesreče,16. Posnetek kraja nesreče,17. Vreme,18. Vidljivost,19. Temperatura,20. Vrsta snega,21. Veter,22. Telesna poškodba
168,5.1.2016,19:30,TRUE,,TRUE,1971,Hrvaška,Alpsko,1,,,,TRUE,,,1,1,-5,7,1,Hujša
169,25.2.2016,12:00,TRUE,TRUE,TRUE,1993,Slovenija,Alpsko,2,,,,TRUE,TRUE,,2,2,-2,9,1,Hujša
170,23.1.2016,13:00,TRUE,TRUE,TRUE,1986,Slovenija,Deskanje,8,,,,TRUE,TRUE,,1,2,2,7,1,Hujša
171,19.3.2016,12:30,TRUE,TRUE,FALSE,1974,Slovenija,Alpsko,1,,,,TRUE,,,,,,,,Lažja
172,19.3.2016,10:00,TRUE,TRUE,TRUE,1951,Hrvaška,Alpsko,25,,,,,,,1,2,5,7,1,Lažja
173,18.3.2016,12:00,TRUE,,TRUE,2007,Slovenija,Alpsko,2,,,,TRUE,,,1,2,3,7,1,Lažja
174,17.3.2016,15:00,TRUE,,TRUE,1964,Slovenija,Alpsko,25,,,,TRUE,TRUE,,1,2,,7,1,Lažja
175,14.3.2016,,TRUE,,TRUE,1993,Slovenija,Alpsko,2,,,,TRUE,,,1,2,1,7,1,Lažja
176,14.3.2016,11:00,TRUE,,TRUE,1988,Slovenija,Alpsko,1,,,,TRUE,,,1,1,-2,7,1,Lažja
177,12.3.2016,13:30,TRUE,TRUE,TRUE,1958,Madžarska,Alpsko,1,,,,TRUE,,,2,3,-4,7,2,Lažja
178,10.3.2016,10:30,TRUE,,TRUE,2006,Slovenija,Alpsko,2,,,,TRUE,,,1,2,-1,7,1,Lažja
179,2.4.2016,11:30,TRUE,TRUE,TRUE,1980,,Deskanje,15,,,,,,,,,,,,
180,8.3.2016,10:30,TRUE,,TRUE,1999,Slovenija,Alpsko,1,,,,TRUE,TRUE,,2,1,-4,7,1,Lažja
181,7.3.2016,12:30,TRUE,,TRUE,1970,Hrvaška,Alpsko,2,,,,TRUE,TRUE,,5,1,-2,7,1,Lažja
182,6.3.2016,11:30,TRUE,TRUE,TRUE,2003,Slovenija,Alpsko,,,,,TRUE,TRUE,,2,2,5,7,1,Lažja
183,5.3.2016,15:30,TRUE,TRUE,TRUE,1966,Hrvaška,Alpsko,1,,,,TRUE,TRUE,,2,1,-3,7,1,Lažja
184,5.3.2016,05:00,TRUE,TRUE,TRUE,2006,Slovenija,Alpsko,1,,,,TRUE,TRUE,,3,1,-3,9,1,Lažja
185,5.3.2016,12:00,TRUE,TRUE,TRUE,2007,Hrvaška,Alpsko,2,,,,TRUE,,,5,2,-2,7,1,Lažja
186,5.3.2016,10:00,TRUE,TRUE,TRUE,2003,Slovenija,Alpsko,1,,,,TRUE,TRUE,,2,1,-3,7,1,Lažja
187,5.3.2016,10:00,TRUE,TRUE,TRUE,1976,Slovenija,Alpsko,1,,,,TRUE,TRUE,,2,1,-3,7,1,Lažja
188,4.3.2016,17:30,TRUE,,TRUE,2007,Slovenija,Alpsko,1,,,,TRUE,TRUE,,2,2,4,7,1,Lažja
189,4.3.2016,10:00,TRUE,,TRUE,1966,Slovenija,Alpsko,15,,,,TRUE,,,2,1,-3,7,1,Lažja
190,4.3.2016,11:00,TRUE,,TRUE,2006,Slovenija,Alpsko,1,,,,TRUE,TRUE,,1,1,-3,7,1,Lažja
191,2.3.2016,12:30,TRUE,,TRUE,1955,Slovenija,Alpsko,,1998,Slovenija,Alpsko,TRUE,TRUE,,2,2,5,7,1,Lažja
192,1.3.2016,11:00,TRUE,,TRUE,2003,Madžarska,Deskanje,1,,,,TRUE,,,3,1,-2,7,1,Lažja
193,1.3.2016,10:30,TRUE,,TRUE,1998,Madžarska,Alpsko,2,,,,TRUE,TRUE,,5,1,0,7,1,Lažja
194,19.2.2016,11:30,TRUE,,TRUE,2008,Slovenija,Alpsko,1,,,,TRUE,TRUE,,5,1,0,7,1,Hujša
195,5.2.2016,13:00,TRUE,TRUE,TRUE,2005,Slovenija,Alpsko,1,,,,TRUE,TRUE,,1,2,3,7,1,Hujša
196,20.3.2016,11:30,TRUE,,TRUE,1981,Hrvaška,Deskanje,1,,,,TRUE,TRUE,,2,2,8,3,1,Hujša
197,14.3.2016,15:00,TRUE,TRUE,TRUE,2004,Slovenija,Alpsko,,,,,TRUE,TRUE,,3,2,8,2,1,Hujša
198,4.3.2016,10:00,TRUE,TRUE,TRUE,1945,Slovenija,Alpsko,1,,,,,,,1,1,-1,7,2,Hujša
199,30.12.2015,11:00,TRUE,,,1972,Slovenija,Alpsko,1,,,,TRUE,TRUE,,3,1,-1,7,2,Hujša
200,25.2.2016,14:00,TRUE,,TRUE,2008,Slovenija,Alpsko,2,,,,TRUE,TRUE,,5,3,-1,7,1,Hujša
201,27.3.2016,11:30,TRUE,,TRUE,1971,Slovenija,Alpsko,1,,,,TRUE,TRUE,,2,1,4,7,1,
202,26.3.2016,14:30,TRUE,,TRUE,2005,Nemčija,Alpsko,1,,,,TRUE,TRUE,,1,3,5,7,1,Lažja
203,26.3.2016,09:30,TRUE,,TRUE,1999,Slovenija,Alpsko,2,,,,TRUE,TRUE,,4,3,1,7,1,Lažja
204,25.3.2016,12:30,TRUE,,TRUE,2010,Srbija,Alpsko,1,,,,TRUE,TRUE,,1,2,6,7,1,Lažja
205,24.3.2016,13:30,TRUE,,TRUE,1948,Slovenija,Alpsko,2,,,,TRUE,TRUE,,3,1,-4,7,1,Lažja
206,21.3.2016,12:30,TRUE,,TRUE,1946,Slovenija,Alpsko,1,,,,TRUE,TRUE,,5,6,4,7,1,Lažja
207,20.3.2016,10:00,TRUE,TRUE,TRUE,1984,Slovenija,Alpsko,1,,,,TRUE,TRUE,,1,2,4,7,1,Lažja
208,19.3.2016,14:30,TRUE,TRUE,TRUE,1984,Združeno Kraljestvo,Alpsko,1,,,,TRUE,TRUE,,1,2,4,7,1,Lažja
209,19.3.2016,14:00,TRUE,TRUE,TRUE,1986,Kitajska,Alpsko,10,1971,Slovenija,Alpsko,TRUE,TRUE,,1,2,4,7,1,Lažja
210,19.3.2016,12:00,TRUE,TRUE,TRUE,2004,Slovenija,Alpsko,2,,,,TRUE,TRUE,,1,2,4,7,1,Lažja
211,19.3.2016,10:00,TRUE,TRUE,TRUE,1961,Slovenija,Alpsko,22,,,,TRUE,TRUE,,1,2,0,7,1,Lažja
212,18.3.2016,14:00,TRUE,,TRUE,2004,Slovenija,Alpsko,2,,,,TRUE,TRUE,,1,2,-1,7,1,Lažja
213,18.3.2016,13:00,TRUE,,TRUE,1966,Slovenija,Alpsko,,1969,Slovenija,Alpsko,TRUE,TRUE,,1,2,-1,,1,Lažja
214,18.3.2016,12:00,TRUE,,TRUE,1989,Ukrajina,Alpsko,8,1984,Ukrajina,,TRUE,TRUE,,1,2,-1,11,1,Lažja
215,18.3.2016,12:00,TRUE,,TRUE,1975,Slovenija,,1,,,,TRUE,TRUE,,1,2,1,7,1,Lažja
216,18.3.2016,10:00,TRUE,,TRUE,1973,Slovenija,Deskanje,8,1967,Slovenija,Alpsko,TRUE,,,1,2,0,7,1,Lažja
217,17.3.2016,10:30,TRUE,,,1931,Slovenija,Alpsko,2,,,,TRUE,TRUE,,2,1,-4,7,1,Lažja
218,16.3.2016,10:00,TRUE,,TRUE,1952,Slovenija,,2,,,,TRUE,TRUE,,3,3,-6,7,1,Lažja
219,15.3.2016,13:00,TRUE,,TRUE,2001,Slovenija,Deskanje,2,,,,TRUE,TRUE,,3,3,-2,7,1,Lažja
220,15.3.2016,11:30,TRUE,,TRUE,1947,Nizozemska,Alpsko,,,,,TRUE,TRUE,,5,1,-1,7,1,Lažja
221,14.3.2016,12:00,TRUE,,TRUE,1954,Slovenija,Alpsko,8,,,,TRUE,TRUE,,2,2,-25,4,2,Lažja
222,12.3.2016,11:00,TRUE,,TRUE,1993,Madžarska,Alpsko,,,,,TRUE,TRUE,,2,1,-1,7,1,Lažja
223,10.3.2016,14:00,TRUE,,TRUE,1978,Slovenija,Deskanje,,,,,TRUE,TRUE,,1,2,1,7,1,Lažja
224,10.3.2016,10:00,TRUE,TRUE,TRUE,1959,Slovenija,Deskanje,1,,,,TRUE,TRUE,,1,2,0,7,1,Lažja
225,9.3.2016,10:00,TRUE,,TRUE,1974,Slovenija,Alpsko,2,,,,TRUE,TRUE,,5,1,-3,4,2,Lažja
226,4.3.2016,12:00,TRUE,,TRUE,1984,Slovenija,Alpsko,1,,,,TRUE,TRUE,,1,2,-1,7,1,Lažja
227,2.3.2016,11:00,TRUE,,TRUE,1967,Slovenija,Alpsko,2,,,,TRUE,TRUE,,2,2,-2,7,1,Lažja
228,2.3.2016,09:30,TRUE,,TRUE,1972,Slovenija,Alpsko,15,,,,TRUE,TRUE,,2,2,-2,7,1,Lažja
229,1.3.2016,14:30,TRUE,,TRUE,1990,Slovenija,Deskanje,,,,,TRUE,TRUE,,2,2,1,7,1,Lažja
230,1.3.2016,13:30,TRUE,,TRUE,1960,Slovenija,Alpsko,15,,,,TRUE,TRUE,,4,2,-1,7,1,Lažja
231,1.3.2016,10:30,TRUE,,TRUE,2004,Slovenija,Alpsko,1,, ,,TRUE,,,2,1,0,7,1,Lažja
232,2.3.2016,13:30,TRUE,FALSE,TRUE,2003,Slovenija,Alpsko,1,,,,TRUE,,,1,2,4,7,1,Lažja
233,2.3.2016,14:00,TRUE,,TRUE,2004,Slovenija,Alpsko,1,,,,TRUE,,,1,1,5,7,1,Lažja
234,4.2.2016,11:00,TRUE,,TRUE,2002,Slovenija,,1,,,,TRUE,,,1,1,5,12,,Lažja
235,6.3.2016,13:30,TRUE,,TRUE,1973,Nemčija,Deskanje,2,,,,TRUE,TRUE,,5,1,0,3,1,Lažja
236,8.3.2016,13:30,TRUE,,TRUE,2009,Slovenija,Alpsko,1,,,,TRUE,,,2,1,2,7,1,Lažja
237,9.3.2016,11:30,TRUE,,TRUE,2004,Slovenija,Alpsko,1,,,,TRUE,TRUE,,4,1,-2,7,1,Lažja
238,10.3.2016,11:00,TRUE,,TRUE,1954,Slovenija,Alpsko,1,,,,TRUE,TRUE,,3,2,0,3,1,Lažja
239,13.3.2016,11:00,TRUE,,TRUE,2002,Slovenija,Deskanje,1,,,,TRUE,,,3,2,1,3,1,Lažja
